tax_path,tax_name,min_ani,avg_reads_per_occurrence,phylum,family
"120883:s__UBA2475 sp016787705:""species""	52829:g__UBA2475_A:""genus""	52828:f__B-17BO:""family""	5782:o__AKYH767:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA2475 sp016787705,92.56908010525557,108.53571428571429,Bacteroidota,B-17BO
"120891:s__UBA2475 sp016787785:""species""	52829:g__UBA2475_A:""genus""	52828:f__B-17BO:""family""	5782:o__AKYH767:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA2475 sp016787785,92.61169593383808,102.25,Bacteroidota,B-17BO
"121092:s__Rubrivivax sp016790395:""species""	14511:g__Rubrivivax:""genus""	110:f__Burkholderiaceae_A:""family""	81:o__Betaproteobacteriales:""order""	72:c__Gammaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Rubrivivax sp016790395,92.85038052110175,238.57142857142858,Proteobacteria,Burkholderiaceae
"121379:s__ER46 sp016794665:""species""	51411:g__ER46:""genus""	527:f__Opitutaceae:""family""	159:o__Opitutales:""order""	158:c__Verrucomicrobiae:""class""	157:p__Verrucomicrobiota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",ER46 sp016794665,92.7811119961363,659.5666666666667,Verrucomicrobiota,Opitutaceae
"121391:s__ER46 sp016794785:""species""	51411:g__ER46:""genus""	527:f__Opitutaceae:""family""	159:o__Opitutales:""order""	158:c__Verrucomicrobiae:""class""	157:p__Verrucomicrobiota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",ER46 sp016794785,92.8902496131602,588.0370370370371,Verrucomicrobiota,Opitutaceae
"121477:s__Lacunisphaera sp016795565:""species""	12051:g__Lacunisphaera:""genus""	527:f__Opitutaceae:""family""	159:o__Opitutales:""order""	158:c__Verrucomicrobiae:""class""	157:p__Verrucomicrobiota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Lacunisphaera sp016795565,93.01251750203144,470.69565217391306,Verrucomicrobiota,Opitutaceae
"122236:s__UBA5216 sp016868015:""species""	19115:g__UBA5216:""genus""	10347:f__SG8-41_A:""family""	81:o__Betaproteobacteriales:""order""	72:c__Gammaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA5216 sp016868015,92.66756426551292,185.16666666666666,Proteobacteria,SG8-41
"122956:s__Fonsibacter sp016882185:""species""	27148:g__Fonsibacter:""genus""	19183:f__Pelagibacteraceae:""family""	19182:o__Pelagibacterales:""order""	164:c__Alphaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Fonsibacter sp016882185,93.9071476354974,543.2592592592592,Proteobacteria,Pelagibacteraceae
"136166:s__Chersky-683 sp017882905:""species""	136165:g__Chersky-683:""genus""	66982:f__PALSA-610:""family""	5193:o__IMCC26256:""order""	681:c__Acidimicrobiia:""class""	343:p__Actinobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Chersky-683 sp017882905,92.36895835945649,109.65384615384616,Actinobacteriota,PALSA-610
"136461:s__CTSoil-075 sp017889585:""species""	136460:g__CTSoil-075:""genus""	58109:f__Propionisporaceae:""family""	3067:o__Propionisporales:""order""	604:c__Negativicutes:""class""	603:p__Firmicutes_C:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",CTSoil-075 sp017889585,92.88384203101624,189.89655172413794,Firmicutes,Propionisporaceae
